C+ID,CONJUNTO,STATUS,ASESOR,FECHA,GÉNERO,EDAD,PAÍS,CIUDAD,PROFESIÓN,OCUPACIÓN,ESTADO CIVIL,INGRESOS MENSUALES,CANALES
XA1,X,DISPONIBLE,, ,,,,,,,,,
XA2,X,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XA3,X,DISPONIBLE,, ,,,,,,,,,
XA4,X,DISPONIBLE,, ,,,,,,,,,
XA5,X,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XA6,X,VENDIDO,INNVERTO,6/4/2025,HOMBRE,31,COLOMBIA,CALI,FUTBOLISTA,INDEPENDIENTE,CASAD@,$5.000.000,SOY REFERIDO
XA7,X,DISPONIBLE,, ,,,,,,,,,
XA8,X,VENDIDO,GABRIELA RODRIGUEZ,17/11/2024,MUJER,47,COLOMBIA,CALI,ADMINISTRADORA,EMPLEAD@,SOLTER@,$4.000.000,SOY REFERIDO
XA9,X,DISPONIBLE,, ,,,,,,,,,
XA10,X,DISPONIBLE,, ,,,,,,,,,
XA11,X,DISPONIBLE,, ,,,,,,,,,
XA12,X,VENDIDO,ANDREA OROZCO,31/7/2024,HOMBRE,53,COLOMBIA,CALI,EJECUTIVO BANCARIO,EMPLEAD@,CASAD@,$3.500.000,LOS VI EN REDES
XA13,X,DISPONIBLE,, ,,,,,,,,,
XA14,X,DISPONIBLE,TRASLADO VP,23/9/2024,,,,,,,,,
XA15,X,DISPONIBLE,, ,,,,,,,,,
XA16,X,DISPONIBLE,, ,,,,,,,,,
XA17,X,VENDIDO,DACION,1/4/2024,,,,,,,,,
XA18,X,DISPONIBLE,, ,,,,,,,,,
XA19,X,DISPONIBLE,, ,,,,,,,,,
XA20,X,DISPONIBLE,, ,,,,,,,,,
XA21,X,DISPONIBLE,, ,,,,,,,,,
XA22,X,DISPONIBLE,, ,,,,,,,,,
XA23,X,DISPONIBLE,, ,,,,,,,,,
XB1,X,DISPONIBLE,, ,,,,,,,,,
XE9,X,VENDIDO,GABRIELA RODRIGUEZ,4/7/2025,HOMBRE,23,COLOMBIA,JAMUNDÍ,COMERCIANTE,INDEPENDIENTE,SOLTER@,$2.000.000,PASÉ Y ENTRÉ
XB3,X,DISPONIBLE,, ,,,,,,,,,
